electricity_kwh,diesel_litres,petrol_distance_km,diesel_distance_km,ev_electricity_kwh,college_bus_distance_km,public_bus_passenger_km,motorcycle_passenger_km,auto_passenger_km,bicycle_passenger_km,walking_passenger_km,waste_landfill_kg,compost_waste_kg,water_consumption_m3,methane_kg,nitrous_oxide_kg
1575.77,62.86,226.66,118.84,39.66,221.94,6889.91,1518.61,529.11,82.14,278.5,657.38,122.82,1239.29,2.84,0.28
1189.28,36.2,205.28,78.8,29.27,171.26,3025.21,950.85,570.26,134.0,221.17,370.14,56.2,683.57,1.92,0.4
1607.54,103.83,383.39,121.24,25.88,189.08,5589.78,1632.79,867.56,33.87,147.68,779.45,144.14,1423.67,9.45,0.32
1663.92,80.63,189.81,173.4,8.83,154.68,4488.49,860.83,211.5,121.76,202.93,502.46,75.9,1355.91,9.41,0.12
1622.92,40.72,427.94,249.21,16.71,221.28,2082.46,1478.42,285.17,63.24,154.49,613.74,39.84,1085.24,9.82,0.68
1638.78,98.31,444.59,237.5,38.92,199.83,3530.63,2239.07,748.66,115.91,200.17,566.4,105.7,1389.22,4.85,0.12
1600.06,91.06,305.77,133.13,31.36,225.65,2034.9,2337.36,495.82,202.51,156.97,744.64,110.79,1347.37,7.3,0.59
1581.5,109.27,488.76,147.07,11.02,255.08,6894.2,2772.97,244.56,215.78,263.38,681.21,71.49,1008.03,7.26,0.61
1184.48,34.58,232.02,119.68,24.69,160.73,4207.76,1865.48,593.35,134.84,140.98,382.54,36.66,1172.87,6.38,0.13
1646.21,104.13,310.53,140.24,15.83,253.85,5152.61,3474.61,722.91,79.6,240.92,551.1,70.22,1573.52,9.36,0.46
1667.89,79.77,340.19,243.37,26.84,217.0,3397.14,2934.75,360.85,34.45,265.13,629.14,44.36,1547.59,4.65,0.57
2144.23,57.79,316.1,211.98,16.92,138.23,6104.9,1084.95,806.04,5.73,288.36,611.9,117.16,1329.19,4.0,0.28
2153.4,111.6,334.2,82.04,21.1,135.99,5725.27,2929.84,899.8,75.06,191.14,544.5,64.91,1059.66,8.79,0.77
2169.44,70.41,326.3,137.27,32.12,81.43,4722.32,2665.99,764.17,89.44,124.51,467.55,64.46,1195.44,6.47,0.3
2103.86,58.36,254.38,151.24,18.2,163.72,6998.09,2393.49,563.07,207.35,10.53,656.71,105.07,1374.85,7.29,0.44
1566.36,45.22,335.22,119.65,8.61,73.98,4057.36,2451.35,211.99,151.23,177.97,583.53,44.16,910.68,3.15,0.36
2178.87,90.77,289.83,200.56,39.73,227.8,4873.94,1713.65,671.62,56.29,214.83,751.99,63.35,921.62,7.95,0.15
2071.32,98.88,281.0,95.63,6.01,144.57,2069.54,2898.97,244.7,96.87,221.9,725.01,60.96,1079.21,8.75,0.41
2130.56,47.84,433.87,64.01,5.92,158.94,6927.38,2120.43,588.74,55.21,130.37,479.02,84.91,1154.36,7.83,0.48
2126.68,40.53,512.32,187.78,31.92,99.83,2418.94,832.29,817.75,6.27,38.29,534.04,37.29,1138.42,2.09,0.26
2121.05,67.07,373.17,230.22,13.05,192.7,6752.85,1044.29,304.72,243.65,66.68,831.94,63.05,1285.56,8.84,0.76
2117.27,58.97,492.0,213.57,24.76,226.1,2830.24,1050.87,829.63,79.91,47.92,741.17,138.66,1575.83,7.57,0.41
1587.06,66.92,107.53,92.0,5.29,63.57,4662.51,2316.26,201.17,92.39,107.49,353.54,34.77,1084.95,7.01,0.14
2164.19,69.17,361.26,145.92,32.18,165.79,6611.95,1467.0,370.85,7.11,161.74,569.02,63.01,1148.58,5.33,0.27
2089.93,50.03,354.67,235.46,24.63,127.91,4912.41,2742.75,468.12,134.91,177.59,765.72,141.47,1172.34,7.72,0.53
2105.03,112.64,185.23,199.5,19.04,104.44,5762.28,1889.21,472.89,216.05,292.68,775.74,151.0,1113.23,5.54,0.71
2086.51,80.8,410.06,105.89,11.95,128.28,6959.32,2864.58,399.03,231.92,129.54,606.12,45.34,1016.96,9.12,0.49
2188.95,52.81,164.34,70.02,26.36,107.22,6146.71,2583.7,619.76,231.39,95.77,630.94,57.33,1080.81,3.94,0.21
2156.66,84.19,120.77,79.39,36.52,167.33,3817.05,3077.04,181.21,234.46,158.47,782.73,146.42,1007.9,6.54,0.24
1641.75,41.47,184.0,171.15,17.21,94.01,3723.1,1490.84,464.57,109.83,159.07,432.96,22.45,770.59,5.55,0.39
2070.59,86.07,258.29,194.56,27.58,151.34,2186.42,1592.67,584.31,93.45,6.9,526.18,34.86,1398.92,2.93,0.76
2096.13,114.87,263.59,165.22,21.48,161.17,6044.55,3028.07,888.22,60.33,107.99,805.04,108.32,1551.42,5.96,0.63
2111.52,72.69,175.38,121.57,10.24,170.82,6498.4,1343.28,878.96,139.13,163.14,810.99,119.27,968.42,5.06,0.31
2091.75,79.46,310.94,63.99,30.46,221.26,6324.88,1603.17,843.29,39.71,230.4,539.41,100.64,1209.99,5.41,0.27
2098.28,87.83,465.07,215.77,21.32,207.46,2003.3,1395.55,578.82,164.42,156.47,536.17,78.25,1072.25,5.15,0.26
2108.25,109.77,303.23,201.24,31.19,218.08,3972.5,2062.06,833.26,225.89,94.66,712.61,104.42,1269.45,6.29,0.75
1643.75,75.51,369.76,116.59,28.9,124.46,2980.2,961.69,492.84,9.73,131.39,436.55,75.01,950.32,2.38,0.36
2136.02,72.68,175.7,166.35,6.17,239.18,3701.28,940.61,677.29,169.75,186.81,679.55,134.13,1052.69,2.53,0.6
2160.35,93.78,331.68,248.33,16.92,89.36,6404.65,1422.41,410.09,8.67,146.95,792.03,156.64,1030.05,6.98,0.38
2185.28,87.24,161.09,69.25,37.5,255.91,4842.81,1548.75,765.0,2.76,54.14,510.06,81.69,1462.68,8.14,0.26
2079.67,101.47,159.84,71.78,39.6,236.84,2692.28,1186.48,156.59,66.26,231.49,532.15,104.98,1558.92,3.54,0.74
2174.21,75.35,382.92,68.68,29.25,219.97,3905.1,1219.4,753.4,101.21,210.82,764.79,120.89,1002.67,8.44,0.3
2680.03,46.01,189.01,144.48,26.98,174.11,4071.64,1516.23,279.72,91.96,180.83,611.94,112.13,940.3,7.05,0.7
2090.23,41.43,373.19,117.32,24.1,133.59,3764.34,1736.31,567.11,67.6,99.25,543.51,95.27,851.91,4.35,0.34
2732.76,116.51,365.14,140.12,30.33,107.65,2989.0,3197.05,751.95,101.59,211.03,768.7,126.59,1406.13,7.72,0.5
2790.44,70.09,218.98,103.13,6.45,126.05,3074.32,3352.68,872.43,60.29,52.33,457.16,85.54,959.5,8.42,0.23
2769.7,95.91,337.5,201.92,12.9,187.66,3205.28,3319.26,357.43,116.25,76.38,761.74,81.7,914.0,2.66,0.18
2663.1,117.18,160.41,219.2,13.37,176.15,6551.48,1729.38,827.65,59.93,197.69,647.68,35.4,1371.09,8.45,0.47
2698.58,74.56,465.65,249.62,17.47,81.3,3357.39,1737.84,854.28,176.06,97.92,711.08,43.55,1024.22,9.06,0.23
2711.37,51.19,217.63,220.53,37.25,114.13,2051.82,1400.64,528.65,182.84,261.22,806.23,148.55,1057.19,6.85,0.27
2069.67,82.5,207.23,83.42,23.38,60.8,5143.96,1952.41,112.89,65.57,18.31,384.01,50.69,796.89,5.61,0.46
2736.04,94.42,394.73,126.76,30.56,103.06,3471.73,1405.4,499.39,103.36,228.6,687.81,88.09,1566.36,2.97,0.12
2745.0,51.48,413.06,173.63,16.61,101.12,6910.08,936.48,285.11,229.89,44.08,837.42,127.0,1139.12,3.02,0.75
2721.3,85.54,208.0,177.05,24.25,146.49,2344.1,2369.32,808.44,128.59,264.37,802.14,100.09,1417.59,4.7,0.55
2694.91,102.14,206.2,133.07,30.42,172.98,6245.7,3288.34,578.57,189.27,112.31,640.39,99.89,1008.17,9.03,0.2
2799.89,50.84,155.45,116.65,17.93,154.18,3316.25,3167.63,555.43,66.15,252.83,601.86,118.78,984.14,9.69,0.55
2761.0,63.33,230.48,150.43,16.99,219.1,4503.62,1524.67,155.28,34.8,260.34,594.52,69.68,1072.04,9.16,0.24
2090.56,62.88,120.71,71.47,25.9,62.28,3107.0,1998.94,619.37,148.36,203.09,581.94,53.11,900.92,5.91,0.17
2762.59,98.19,480.57,118.56,31.34,175.69,5067.66,2979.24,299.68,145.01,4.03,768.84,68.21,1267.4,9.09,0.19
2685.68,72.41,122.91,83.04,32.64,109.22,5549.59,1365.32,509.54,100.88,239.23,779.58,48.88,975.7,7.11,0.31
2795.0,61.79,460.41,209.14,6.34,216.76,5381.4,1959.73,323.05,2.39,44.5,451.33,52.5,1255.45,2.84,0.21
2753.32,44.89,191.81,178.21,26.83,165.15,6629.42,1156.75,625.84,218.4,203.41,749.93,90.33,1219.53,6.19,0.6
2748.78,42.43,142.05,89.56,13.95,110.33,4394.81,2218.87,865.47,247.82,104.81,561.86,102.26,1039.41,9.26,0.58
2679.03,93.39,204.74,113.05,14.22,194.27,3943.99,821.51,545.92,230.73,258.07,666.34,91.49,1108.8,3.53,0.47
2094.67,72.49,330.5,92.37,9.65,120.4,1342.64,1264.95,328.13,107.4,34.73,503.67,84.04,977.86,3.35,0.51
2775.56,70.31,194.65,172.63,11.9,192.56,4800.43,895.98,169.97,172.16,155.58,806.79,137.56,970.4,9.34,0.41
2738.62,94.86,144.82,66.08,19.07,243.01,4612.02,2062.7,398.8,129.18,116.84,628.54,76.87,1259.99,2.26,0.13
2783.59,78.48,357.87,118.66,27.42,83.07,4736.84,2957.27,644.45,216.64,268.67,529.88,68.77,1591.21,9.39,0.42
2722.1,73.27,382.42,209.84,19.56,211.09,4737.18,1382.9,566.16,206.68,277.76,835.24,44.72,1586.36,6.17,0.33
2814.23,118.6,173.61,69.68,5.57,249.44,2176.39,3028.18,253.18,57.37,82.84,787.46,61.7,1509.67,7.13,0.23
2682.91,115.91,344.04,233.74,33.44,93.4,5184.2,2735.59,839.49,132.79,248.5,613.78,36.0,1359.13,9.13,0.56
2103.88,42.69,194.95,93.83,22.59,102.29,1209.91,1016.56,318.35,20.97,22.27,434.55,69.54,748.58,2.38,0.46
3133.68,75.63,352.89,177.03,37.69,178.27,2067.38,1654.42,569.74,12.92,73.83,585.61,59.59,1280.93,5.5,0.47
3197.59,88.61,446.21,161.69,15.57,223.97,5724.65,1422.89,371.47,239.67,159.49,460.67,48.48,1325.06,4.09,0.14
3126.14,85.04,275.37,223.65,36.67,81.76,5837.19,3380.85,757.51,246.18,261.1,670.71,107.25,1102.36,2.99,0.41
3104.86,75.52,204.09,168.92,16.39,120.98,6782.69,3470.41,396.26,131.46,285.89,737.83,101.4,1207.23,4.4,0.63
3149.84,90.05,225.39,84.08,10.91,202.97,6514.75,1548.93,565.61,61.93,158.25,496.63,35.24,1541.92,3.32,0.6
3094.23,69.06,416.15,242.86,35.86,256.98,6971.93,905.03,731.2,53.43,84.12,812.94,62.07,1299.94,2.81,0.6
2388.41,34.39,105.76,96.88,14.87,160.18,2222.59,2374.66,551.77,40.4,76.8,353.51,31.85,976.73,3.68,0.42
3163.66,113.93,513.27,235.13,8.92,129.25,5910.47,3362.6,656.2,199.46,4.37,739.57,125.12,971.48,8.78,0.2
3183.08,65.23,155.24,77.14,30.16,133.13,1833.54,2400.87,446.27,64.0,67.01,617.46,119.96,985.46,4.83,0.11
3076.7,62.49,501.66,224.91,12.23,187.68,5674.95,2818.96,296.05,191.07,170.27,477.0,25.71,1245.6,8.41,0.43
3186.83,45.19,126.61,109.95,34.6,234.22,4140.33,2612.98,452.82,66.97,149.16,579.48,112.85,1253.16,7.47,0.63
3119.07,104.01,429.68,189.79,38.33,236.56,1814.1,2352.06,364.79,212.3,254.98,826.17,137.51,1217.4,6.04,0.55
3196.39,111.64,222.78,228.5,27.11,218.13,4399.38,2203.68,385.29,130.32,153.56,468.76,36.68,1029.11,6.05,0.2
2314.27,35.23,344.81,91.61,21.61,110.92,3398.06,669.61,628.52,9.4,12.04,559.83,91.86,801.8,5.56,0.13
3128.15,60.66,137.72,186.67,32.99,90.81,4221.37,1282.92,200.32,87.01,45.08,590.63,35.44,965.25,4.74,0.49
3080.42,52.83,130.92,233.15,29.8,123.92,6571.3,1872.8,345.67,113.67,113.27,679.33,92.07,932.3,5.89,0.4
3049.89,76.26,333.59,219.76,24.51,97.74,6695.51,2665.44,255.2,40.18,113.89,756.94,91.25,1291.13,8.62,0.29
3170.07,98.09,312.13,116.47,16.01,142.73,3956.15,1314.24,587.47,142.58,95.3,680.94,121.36,1384.13,7.55,0.37
3180.19,62.49,274.31,233.05,17.28,235.69,3270.85,2799.68,295.55,240.11,3.88,789.84,67.95,1368.18,3.87,0.49
3157.34,83.45,245.35,239.54,15.37,94.62,3177.78,857.69,319.0,194.2,262.77,673.3,128.07,1232.01,3.53,0.29
2351.92,84.57,342.85,177.88,19.0,140.9,1133.92,1930.65,343.17,179.58,142.29,420.99,61.9,784.8,6.15,0.16
3049.03,64.59,449.58,67.64,5.21,180.17,2935.7,2317.73,823.93,175.74,70.3,627.79,86.93,1051.88,4.51,0.22
3073.2,69.21,166.49,224.8,16.44,137.24,2534.93,2759.12,266.92,103.93,282.8,487.77,27.81,1368.9,3.75,0.73
3224.67,64.64,320.15,189.01,22.6,125.37,1513.99,1462.37,392.08,103.31,243.17,742.92,74.91,1520.92,2.51,0.57
3107.51,56.35,292.76,83.96,5.66,141.37,2885.57,3257.84,615.03,47.12,187.77,706.36,93.36,1312.37,6.63,0.21
3074.11,96.51,246.3,169.48,31.7,160.36,4127.56,1045.98,308.84,112.35,90.91,773.34,61.82,1055.27,3.48,0.68
3229.44,71.43,424.91,201.4,38.07,236.37,5550.51,2780.3,341.65,105.63,117.3,636.98,87.92,1595.65,9.97,0.7
2377.87,53.95,209.11,100.56,15.21,111.08,4055.7,1693.91,462.18,87.61,10.78,471.24,38.48,923.82,5.0,0.41
3148.37,116.46,330.53,206.73,27.38,99.44,3205.07,1523.5,878.11,147.35,50.76,590.09,30.71,1570.9,9.95,0.69
3113.8,99.94,364.63,126.44,13.6,247.96,2331.42,3006.23,421.49,128.12,169.62,452.87,44.5,1580.91,8.4,0.12
3185.46,105.74,177.73,168.16,14.91,99.73,6812.09,2128.63,281.62,166.02,105.78,632.05,100.16,1271.85,8.39,0.77
3714.36,72.17,151.24,123.97,19.45,142.92,3219.77,2268.89,393.69,80.5,96.4,697.14,132.53,984.85,7.48,0.79
3721.49,92.08,176.54,105.56,9.03,157.84,1942.47,3226.45,784.83,83.75,154.64,847.18,143.83,1332.54,9.87,0.31
3657.73,62.87,258.44,179.64,16.28,249.7,6072.83,2527.69,178.43,215.24,88.47,650.01,89.8,1290.12,2.16,0.77
2710.67,57.47,388.87,69.29,15.58,147.68,4227.3,669.85,197.28,137.51,114.68,372.02,28.77,822.31,6.47,0.2
3739.27,62.86,269.7,218.14,6.31,147.8,6084.46,2063.61,588.04,207.53,101.28,604.53,96.33,1246.17,4.42,0.14
3722.55,69.6,402.38,182.09,14.38,131.19,2643.14,1955.02,748.51,23.99,240.12,628.89,39.04,1364.02,8.26,0.2
3597.86,40.37,472.8,200.5,29.02,105.93,4127.5,3210.16,764.2,203.67,26.72,613.25,58.33,930.95,3.48,0.41
3654.19,41.24,264.08,82.89,32.68,127.15,4150.65,2615.89,817.62,27.23,184.61,617.22,39.49,1323.82,8.39,0.54
3623.52,86.38,343.26,181.26,18.51,142.85,3369.16,1472.05,192.82,136.33,283.14,616.04,31.32,942.17,3.88,0.78
3669.13,75.99,331.95,229.45,7.57,249.11,4893.52,1668.89,440.16,248.58,206.38,465.14,39.83,1227.38,3.69,0.42
2715.67,76.41,280.42,125.03,15.04,139.77,3560.35,2161.43,206.67,185.92,92.56,554.42,29.41,1015.39,4.31,0.18
3687.69,60.48,191.31,221.1,15.31,254.6,3155.86,1333.17,623.73,175.27,223.66,497.3,34.73,1157.94,3.2,0.38
3629.05,55.6,339.69,94.68,15.51,234.26,2174.3,1838.7,343.78,206.6,123.71,825.01,41.88,1465.9,4.14,0.77
3709.28,95.59,206.76,212.91,37.59,248.94,4933.46,2464.2,563.37,4.05,200.84,725.59,83.85,1436.49,3.55,0.19
3692.82,68.48,316.49,149.38,28.13,102.64,5356.53,2555.23,804.5,155.09,254.47,553.8,69.89,1152.46,4.19,0.64
3584.88,81.08,406.4,227.04,18.07,193.84,5931.01,2723.3,838.31,181.08,256.93,791.74,97.4,1466.72,6.64,0.54
3573.19,86.51,174.69,206.91,36.94,232.11,3399.5,1596.35,800.08,75.65,87.67,721.54,115.32,1254.15,6.28,0.31
2745.56,51.38,124.29,69.1,28.18,182.55,1439.95,2173.84,361.62,142.68,148.28,346.22,47.6,729.9,1.86,0.4
3608.84,68.38,413.33,155.23,24.22,88.84,3971.06,2224.58,841.69,84.83,16.35,537.28,83.81,1498.49,6.43,0.67
3719.79,81.69,272.08,142.18,26.1,89.34,6350.26,2382.02,400.37,137.58,218.78,467.63,39.55,927.41,9.67,0.46
3731.14,52.23,450.89,88.76,27.21,200.29,2618.98,3386.99,641.86,42.91,83.79,595.77,56.93,1519.1,3.87,0.71
3584.58,104.5,277.91,117.71,24.12,200.82,5788.84,2967.89,478.49,121.5,228.23,605.28,76.69,1255.15,2.22,0.5
3703.38,96.65,485.18,126.34,19.38,200.56,4042.56,1427.55,670.94,104.98,138.58,479.77,47.79,1190.25,4.54,0.75
3677.71,90.17,443.37,138.1,29.44,189.11,3072.32,2479.66,218.72,46.55,195.72,588.81,45.93,1527.96,2.15,0.19
2698.7,77.68,155.7,78.28,12.44,89.65,1137.18,966.37,148.39,46.81,170.95,432.53,33.47,1075.81,5.29,0.51
3736.94,54.07,398.95,195.31,30.53,86.77,5076.5,2214.08,856.85,235.97,242.11,505.65,47.61,1301.25,6.49,0.76
3745.28,100.31,391.59,217.75,25.8,153.36,6121.34,3166.5,599.55,77.88,78.62,694.56,62.36,980.46,3.09,0.35
3666.23,77.83,496.48,189.25,7.67,259.17,6084.21,985.67,560.09,154.38,222.41,493.43,59.21,1094.57,7.48,0.56
3756.48,93.56,425.01,75.08,35.5,201.4,3012.89,3380.28,842.38,227.67,13.27,766.0,114.11,1126.83,9.29,0.29
3729.33,75.47,217.82,86.0,18.43,229.89,3554.6,920.1,766.94,158.16,89.05,695.69,72.43,1402.79,2.17,0.68
3582.24,76.63,170.64,196.78,33.48,197.53,5262.83,2326.14,198.31,6.86,59.46,836.68,50.51,1058.91,5.4,0.4
3427.7,81.2,265.73,67.26,17.09,99.57,3570.48,1080.19,488.97,9.59,111.71,586.71,106.1,1172.85,1.55,0.42
4643.13,45.55,200.85,195.04,28.13,228.1,3295.15,1568.67,708.26,202.43,179.28,566.93,99.56,1122.19,5.76,0.38
4602.08,67.39,409.54,239.43,23.77,247.57,2726.8,997.67,807.84,52.29,279.23,550.08,102.0,1485.12,9.6,0.65
4566.0,85.36,267.03,75.78,35.57,179.97,6230.12,2163.35,512.6,96.93,24.14,847.97,66.69,1191.68,4.45,0.54
4642.5,67.08,139.68,177.68,17.93,139.06,5763.36,3365.85,470.89,7.33,72.58,600.89,107.28,1335.99,7.53,0.73
4513.24,83.53,163.89,173.28,17.87,112.14,4421.36,2577.41,173.74,16.39,1.02,719.57,137.7,1434.4,7.78,0.35
4596.89,113.33,363.05,170.19,35.15,202.27,2820.67,2395.9,555.79,181.8,202.33,832.17,140.69,1588.31,2.0,0.25
3383.73,49.52,270.65,128.11,19.08,89.63,1485.68,2442.18,328.29,143.2,221.72,355.03,25.83,854.29,3.97,0.58
4588.13,78.19,387.48,216.32,11.0,117.3,2123.15,2847.47,866.84,225.4,26.95,701.27,89.37,1107.5,7.6,0.11
4662.56,102.5,387.04,73.55,13.9,143.09,3861.4,2126.21,667.55,249.16,221.94,458.23,88.99,1479.09,9.56,0.12
4752.44,114.52,297.1,99.25,20.23,117.79,6471.83,2373.43,626.13,112.14,154.81,751.58,76.92,959.7,7.94,0.24
4534.83,91.12,510.69,78.01,19.39,166.43,5929.37,2015.93,680.73,80.97,147.94,569.79,65.9,1131.16,3.05,0.46
4594.55,48.87,309.06,224.01,13.92,135.69,2043.52,1096.92,787.08,68.97,28.82,576.85,37.16,1225.13,5.5,0.76
4667.44,41.57,304.06,236.57,28.08,143.81,2829.34,3392.68,279.98,31.36,259.36,487.55,86.03,1364.91,4.39,0.13
3502.62,49.51,118.87,107.47,13.29,72.22,1436.0,1161.77,470.93,153.21,201.01,554.68,43.84,931.17,6.97,0.25
4734.57,96.69,475.3,106.82,13.03,241.58,5776.2,1365.08,491.73,174.44,97.62,709.73,122.18,1542.77,6.43,0.54
4638.3,68.54,153.25,217.51,31.6,201.32,3475.21,2707.28,190.63,100.7,11.79,702.23,71.83,1289.18,2.93,0.72
4743.62,75.59,193.45,189.02,38.03,203.66,3053.84,3102.34,849.01,39.29,106.77,712.0,116.89,915.44,6.54,0.6
4748.14,80.59,187.91,232.36,7.11,129.17,3117.54,1721.31,699.95,156.99,113.37,545.59,81.45,1455.21,2.66,0.2
4686.88,40.08,456.02,98.93,16.68,173.45,6526.56,3047.54,656.97,162.01,97.05,824.48,153.01,1272.2,7.75,0.29
4767.7,70.17,470.12,219.48,33.75,120.71,3444.14,2953.44,772.78,52.35,260.4,711.64,124.13,1509.09,4.86,0.43
3582.61,87.59,289.32,160.23,26.13,136.58,3814.22,2551.87,405.5,130.72,13.5,422.72,81.11,844.47,6.62,0.18
4597.71,40.38,134.94,198.42,5.95,257.37,4718.25,1212.12,583.72,32.46,219.37,734.47,95.7,1251.61,7.5,0.67
4781.67,71.43,207.16,198.38,28.61,169.57,2635.1,1835.41,262.35,36.24,188.87,803.09,157.94,1144.52,6.38,0.19
4611.91,95.76,126.8,221.41,10.13,147.0,2314.26,1915.49,762.89,152.45,95.75,601.94,117.98,1054.6,9.04,0.24
4593.49,62.12,234.08,112.91,39.31,211.67,3261.63,2759.74,254.73,28.79,185.71,610.44,86.09,1284.77,2.17,0.43
4757.98,111.49,191.75,77.34,11.14,180.24,5341.07,1628.77,737.97,23.05,34.09,481.42,57.31,1282.11,8.02,0.16
4643.82,93.81,475.13,167.37,21.57,147.73,6386.69,938.99,655.55,56.54,183.99,560.89,80.95,1048.58,8.75,0.48
